7.756165662925383619e-02,-3.059536057163781200e-02,4.457119049506072517e-02,-5.476942240364167380e-02,5.168879264148595193e-02,-3.539934614394475015e-02,1.910639954865041984e-02,-6.529198521016545131e-02,2.840695675467128090e-02,-2.054459034103954876e-02,1.550848148115444546e-02,3.658196544254276039e-02,-1.144045972496492494e-02,-7.251738293245469334e-03,-2.588208158624739907e-02
6.967630366785682039e-02,-2.765008857255961752e-02,3.856317528704596154e-02,-5.198564987404803023e-02,4.905978389485540075e-02,-3.477538716098885901e-02,1.904612618531934323e-02,-6.608650304374547035e-02,2.812066267710622292e-02,-2.040602703951298336e-02,2.082984823712344391e-02,3.368994506692959967e-02,-9.900190809309719620e-03,-1.022102396874920160e-02,-2.728327305053412921e-02
6.088528762482420253e-02,-2.389549448017280059e-02,3.185217966974215886e-02,-4.900766813742349348e-02,4.618101651083694748e-02,-3.283248290471893482e-02,1.844710147436222358e-02,-6.609593804339530809e-02,2.821408831496996505e-02,-2.015636711117602120e-02,2.586534910915527785e-02,3.086695572339337446e-02,-8.498543544159242735e-03,-1.318222146574882236e-02,-2.865603031398905598e-02
5.350967741794965260e-02,-2.139233234383029758e-02,2.623488667821832765e-02,-4.612206017096939781e-02,4.360684855258720183e-02,-3.239127013577786096e-02,1.850081470767514502e-02,-6.682546239992082082e-02,2.782923046935512068e-02,-2.006745738516993449e-02,3.116214623603473857e-02,2.789751108514093580e-02,-6.942063427404721043e-03,-1.621602729021354161e-02,-3.007807901397242106e-02
4.637196300816143202e-02,-1.904765023787428901e-02,2.081869541501629728e-02,-4.334390908033858292e-02,4.107636226092056808e-02,-3.224554668171439320e-02,1.866113644644634695e-02,-6.774313370501372500e-02,2.733565458150375230e-02,-2.000783265075795070e-02,3.650619371894475718e-02,2.494742850098374820e-02,-5.348059195264820431e-03,-1.922646838531960611e-02,-3.150121406506731225e-02
3.926875600332430105e-02,-1.676081457167742650e-02,1.548206849380540095e-02,-4.061505332793047263e-02,3.855335256453051862e-02,-3.218734108917133130e-02,1.884071719006674694e-02,-6.876209350302198153e-02,2.678882576080510169e-02,-1.995907832805254856e-02,4.188839134977961898e-02,2.202964907692083266e-02,-3.740404215286319278e-03,-2.222830319999974380e-02,-3.291288234221179804e-02
3.216554899848572679e-02,-1.447397890547980071e-02,1.014544157259361645e-02,-3.788619757552186273e-02,3.603034286813922016e-02,-3.212913549662851920e-02,1.902029793368711919e-02,-6.978105330103040460e-02,2.624199694010681538e-02,-1.991032400534720193e-02,4.727058898061511916e-02,1.911186965285821548e-02,-2.132749235307485058e-03,-2.523013801467935413e-02,-3.432455061935626994e-02
2.504762536716209631e-02,-1.217799976827514674e-02,4.773375506083935016e-03,-3.513231056631856142e-02,3.349404599829505780e-02,-3.206730783585937106e-02,1.917627129065335723e-02,-7.078820646454588028e-02,2.567681647556641078e-02,-1.986861918226279222e-02,5.266938372627816278e-02,1.620069339505109118e-02,-5.249205786074934155e-04,-2.823634517662848911e-02,-3.573180346067687807e-02
1.729988369167401868e-02,-9.671850785739899425e-03,-7.243710042805495686e-04,-3.232241833978283241e-02,3.109652731248024882e-02,-3.160457719668793852e-02,1.937194784228092603e-02,-7.136949161408273623e-02,2.534957142231054894e-02,-1.980976614197603458e-02,5.793774653543681818e-02,1.327647597238804100e-02,1.028362382134103553e-03,-3.126391110018118119e-02,-3.712093996214451547e-02
9.718060472481887535e-03,-7.228511028949891060e-03,-6.300397557746861832e-03,-2.950524055480811814e-02,2.853287338906223408e-02,-3.116119898574026825e-02,1.943339540216931782e-02,-7.209941126753105500e-02,2.495627047085041683e-02,-1.970640783332683332e-02,6.328240118045508344e-02,1.037716003202110264e-02,2.565515928282604413e-03,-3.429279480717346146e-02,-3.851574387150578233e-02
2.176169268232330811e-03,-4.805313255443477427e-03,-1.198999979157069906e-02,-2.666404357405766784e-02,2.582336521016515007e-02,-3.065540967510649306e-02,1.935963049915043199e-02,-7.289355547132359003e-02,2.453953286962030217e-02,-1.955507487756535934e-02,6.868258818585259995e-02,7.502225056634104043e-03,4.074955641795953952e-03,-3.732827804110426528e-02,-3.991180671282404391e-02
-6.616396245995637138e-03,-1.750920719517164159e-03,-1.866943642050902796e-02,-2.384822284825022232e-02,2.275743060615070812e-02,-2.947141051038210113e-02,1.909431201921935051e-02,-7.323130460064146419e-02,2.461680691080375682e-02,-1.926489428074640298e-02,7.405349994947818537e-02,4.613716330758942281e-03,5.475566794708651604e-03,-4.037996966487549660e-02,-4.128273225939756846e-02
-1.590208945511855515e-02,1.735399247463159655e-03,-2.569050271754660941e-02,-2.094512882348455174e-02,1.966097308587054504e-02,-2.775329642289581233e-02,1.872707853087633711e-02,-7.325071534562360709e-02,2.499174858406494337e-02,-1.895374827728513178e-02,7.930650781451277498e-02,1.700106191708028848e-03,6.812244375465607675e-03,-4.340362174588699440e-02,-4.264116873629913290e-02
-2.499049013072057734e-02,5.041834899433828010e-03,-3.236486337436042526e-02,-1.790924174175478889e-02,1.678029267182490347e-02,-2.599932691952688835e-02,1.834672618091293117e-02,-7.321350475245791412e-02,2.522528980963362200e-02,-1.868356626856280955e-02,8.452093964873715060e-02,-1.201192404261596219e-03,8.144122085612348974e-03,-4.644842512205747675e-02,-4.399235047102332402e-02
-3.489441016654948324e-02,9.065642848369991069e-03,-4.007955063752366431e-02,-1.498968436599024123e-02,1.348509804332789774e-02,-2.403266687866745244e-02,1.766959910178667048e-02,-7.325938415110971880e-02,2.560910349402779895e-02,-1.826179724012091249e-02,8.983018962045907774e-02,-4.063391327254829537e-03,9.457713460694978230e-03,-4.948551301022340032e-02,-4.534105840963288669e-02
-4.473506211575799946e-02,1.316476585081852169e-02,-4.790157277277437564e-02,-1.216283796436069820e-02,1.017888027619312519e-02,-2.220110373944300663e-02,1.699460283348114276e-02,-7.357403281392518868e-02,2.597813673410124743e-02,-1.781592544643477438e-02,9.519430401106264428e-02,-6.914631706145205753e-03,1.078869128342222795e-02,-5.245966442744494362e-02,-4.671007866595654201e-02
-5.457571406496602995e-02,1.726388885326696210e-02,-5.572359490802525350e-02,-9.335991562730988624e-03,6.872662509058324876e-03,-2.036954060021892166e-02,1.631960656517486563e-02,-7.388868147674065856e-02,2.634716997417469939e-02,-1.737005365274868485e-02,1.005584184016662941e-01,-9.765872085035558550e-03,1.211966910614947594e-02,-5.543381584466647999e-02,-4.807909892228019039e-02
-6.434365451706128280e-02,2.128268887716866509e-02,-6.344872861493913718e-02,-6.602675104566857467e-03,3.567101534019068154e-03,-1.855971937114510306e-02,1.570988651458638322e-02,-7.417155821056245490e-02,2.670961502821361105e-02,-1.696860725344161852e-02,1.059346382726136376e-01,-1.264818594254971465e-02,1.350809528895430614e-02,-5.838220307971502682e-02,-4.944892516737696420e-02
-7.428499163351615087e-02,2.550711795415668004e-02,-7.132369683547851169e-02,-3.699761682547486608e-03,1.658443141579479807e-04,-1.639313665032761380e-02,1.498607277066559169e-02,-7.420929789200313154e-02,2.719704112632626708e-02,-1.653207599239734510e-02,1.112659094805907856e-01,-1.558258695222891968e-02,1.484252579650052577e-02,-6.141046025596381963e-02,-5.080144225682558384e-02
-8.384825719735219951e-02,2.963411998913306755e-02,-7.886153109636129255e-02,-3.097614533082437838e-04,-3.180636762638300308e-03,-1.421984574033127724e-02,1.392919029363485703e-02,-7.411109680349986517e-02,2.761667743350347884e-02,-1.614107014860859113e-02,1.162333863048154309e-01,-1.829981754623986531e-02,1.624893096725961786e-02,-6.437560094074457062e-02,-5.217222526164470853e-02
-9.266060136133794090e-02,3.326378555043185692e-02,-8.548800995539410086e-02,3.088703924864613648e-03,-6.076791378825878442e-03,-1.252959805389152088e-02,1.306193649124282215e-02,-7.419576980669921606e-02,2.765279819806417197e-02,-1.586637236013407545e-02,1.211810398009623979e-01,-2.098771648644959589e-02,1.775360220360690938e-02,-6.735306468752132181e-02,-5.355252507460808026e-02
-1.015820750224654401e-01,3.710506987886907915e-02,-9.212508998931015491e-02,6.403566077422442882e-03,-9.257528334806794379e-03,-1.002274691901421794e-02,1.161348303032595439e-02,-7.373513449660643038e-02,2.777924498448601509e-02,-1.531432791952255443e-02,1.260299747707182005e-01,-2.361451324126794329e-02,1.920921570988424684e-02,-7.036330682843465467e-02,-5.491663350724668158e-02
-1.115738110966734697e-01,4.154389832124244508e-02,-9.946950822970884731e-02,9.921392101075917833e-03,-1.269335441212388928e-02,-6.536271894351604675e-03,9.790770075641998596e-03,-7.249961996195246339e-02,2.827850742939571824e-02,-1.460315120142433899e-02,1.307316841101308913e-01,-2.622285413148021938e-02,2.052549436255818663e-02,-7.345528227642136865e-02,-5.623365469678814899e-02
