9.459713866192958659e-18,-2.622762466290531297e-17,-3.696847880540939521e-17,-3.253353913323325329e-18,1.040667753910854327e-17,-5.803294455057369485e-18,1.324929534491744979e-18,-1.373289974513822873e-17,7.781362799039989748e-18,-1.751213684689733612e-18,6.307856038353365719e-18,2.014451164746446140e-17,7.920564911863843023e-18,9.136632460265350362e-18,6.928977747340016834e-18,-1.020343727429937016e-17,1.010296362599477665e-18,2.177807658245120371e-18
4.591239554264532272e-03,1.051911608669214848e-04,-4.084666106383456549e-03,5.182697229590834623e-04,5.910198720560522895e-03,2.958943818636152259e-03,-2.651895291709977388e-03,-3.700313133192315029e-04,4.021125232639397723e-03,-5.558013847585889164e-03,-1.902833635248492306e-03,-1.451047443633002310e-04,-2.196798504631142235e-03,6.674847221026347643e-03,3.616305562920696381e-03,-4.065730811257828314e-03,-4.033808006016492698e-04,5.907316445151744588e-04
9.230722733021529125e-03,1.434857000841686415e-04,-8.253114031248258084e-03,1.073530439404823998e-03,1.183952465738343646e-02,5.836590407969296374e-03,-5.283532297943434319e-03,-6.306759703912229176e-04,8.136712066414072964e-03,-1.107499741200885721e-02,-3.800465905559692603e-03,-1.383671169158939840e-04,-4.402138284787804334e-03,1.330766679774386674e-02,7.213504444600893351e-03,-8.138236356497019486e-03,-8.014541971240185525e-04,1.181259416998869938e-03
1.402621061268831404e-02,3.353592063063699086e-04,-1.233078028029491874e-02,1.695256858153848349e-03,1.795299430912353916e-02,8.759517519952450537e-03,-7.980194594733640290e-03,-1.000556030446519973e-03,1.219760434612435218e-02,-1.653184187183712184e-02,-5.518963698047316124e-03,-1.014133878349254836e-04,-6.595366197891333604e-03,1.999169350033569437e-02,1.083257743295831799e-02,-1.222113933148044618e-02,-1.195216445128322036e-03,1.761094268991340861e-03
1.855656942267733256e-02,5.501099768450519109e-04,-1.614108862529735344e-02,2.484563596102551397e-03,2.389400959503367589e-02,1.177825399432946146e-02,-1.063461795732819140e-02,-1.347710181077266256e-03,1.622378143770858427e-02,-2.186680157867371133e-02,-7.067154807502251668e-03,4.612445156504385579e-05,-8.768045506206467721e-03,2.665597391068325051e-02,1.448783141594891730e-02,-1.636479759556547231e-02,-1.608526762327366910e-03,2.352737709126192372e-03
2.304177526801059334e-02,8.328368136104446345e-04,-2.020559776945055758e-02,3.334863593763399969e-03,3.006393811433916152e-02,1.484006715222149775e-02,-1.323930950223527886e-02,-1.582458432920708091e-03,2.029896203228442886e-02,-2.718392534528963483e-02,-8.562445709064697708e-03,2.984459425977581404e-04,-1.090315505766158155e-02,3.332571661864108803e-02,1.809414025339073362e-02,-2.048268706500994130e-02,-2.020328433874507557e-03,2.944941158652926265e-03
2.782749370996037697e-02,8.442542363794446753e-04,-2.418472420634158043e-02,3.927536933334519614e-03,3.598892184602645039e-02,1.785303599551359144e-02,-1.585701221680191689e-02,-1.898036725436536010e-03,2.429888275549801913e-02,-3.262738693892715952e-02,-1.034142052945405399e-02,2.359010218464657749e-04,-1.304426882277931465e-02,3.998717825079123322e-02,2.170382099905687756e-02,-2.457116940478790146e-02,-2.421133266179850523e-03,3.539999813244378360e-03
3.220125060281298079e-02,7.495648988775568955e-04,-2.812431255126068494e-02,4.614110800581591731e-03,4.167094688545336378e-02,2.078249158920353334e-02,-1.861771781530591197e-02,-2.138013961956619635e-03,2.825719371928828161e-02,-3.803486582809911809e-02,-1.213887701834785726e-02,2.085127936639064039e-04,-1.523656389920964582e-02,4.661666912644446548e-02,2.533212270602350213e-02,-2.866178279440296378e-02,-2.823912232019550744e-03,4.140601203144424723e-03
3.659166440378175400e-02,7.010054237895912976e-04,-3.220811258089051332e-02,5.215983864079364041e-03,4.744109636069243630e-02,2.367287861148508615e-02,-2.122950919216860105e-02,-2.474053834477865643e-03,3.241929521660565083e-02,-4.356859017345555973e-02,-1.402262725047233316e-02,1.497657251909312315e-04,-1.743201017439988121e-02,5.324167825591974434e-02,2.895318250559979212e-02,-3.274625642008415632e-02,-3.221591226034616149e-03,4.735606949400786997e-03
4.104286607834445322e-02,7.711343936762215384e-04,-3.643075440980625412e-02,5.845996469667129845e-03,5.318983669802274106e-02,2.661687992932658398e-02,-2.383052951388687363e-02,-2.773697571641919879e-03,3.674311603461399844e-02,-4.910023027235983079e-02,-1.569784770382739308e-02,2.484202775659971607e-04,-1.958068124803302723e-02,5.982887941599294990e-02,3.260863682715353651e-02,-3.684152322545030528e-02,-3.613055882418401803e-03,5.318729634654998165e-03
4.558632422567765463e-02,8.212612264775244475e-04,-4.109326594165181590e-02,6.635225906765233883e-03,5.869364730084936088e-02,2.977692602673515099e-02,-2.644349972754943268e-02,-2.721424192673474463e-03,4.074498874157242434e-02,-5.453661820007198180e-02,-1.683942182135045318e-02,1.028911805553367476e-03,-2.158261706871487245e-02,6.645608497189355035e-02,3.630864690875751366e-02,-4.094634570582754429e-02,-3.988256872604166794e-03,5.879269248399824482e-03
5.045871659139222754e-02,6.845700293333506492e-04,-4.535900391921707242e-02,7.488590331436950631e-03,6.469786345475658784e-02,3.296568148680238675e-02,-2.902954648504015023e-02,-2.865815002490612606e-03,4.469744026320983388e-02,-5.984265363438776020e-02,-1.833794534245070107e-02,1.344683370495508568e-03,-2.366692163476073058e-02,7.315822409704957063e-02,3.990530563841945128e-02,-4.504117458543763219e-02,-4.373560723112086129e-03,6.456520182189025465e-03
5.494201032986650857e-02,9.015259752031615226e-04,-4.920503950199658222e-02,8.149996764426771512e-03,7.027018122795243571e-02,3.572355278126881917e-02,-3.157568185696832397e-02,-3.214571493404164149e-03,4.848093958997384822e-02,-6.533774004619039011e-02,-1.988301694318284074e-02,1.607965892424317866e-03,-2.578043355920802901e-02,7.982775540827057037e-02,4.353974401098079094e-02,-4.914623369039799322e-02,-4.765717386440946127e-03,7.058543546326268535e-03
